Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    6.8431854248e+01,    2.7665802002e+01,
    6.8931365967e+01,    2.6665899277e+01,
    6.9430839539e+01,    2.6080890656e+01,
    6.9930313110e+01,    2.5567794800e+01,
    7.0429817200e+01,    2.5985494614e+01,
    7.0929336548e+01,    2.6564521790e+01,
    7.1428817749e+01,    2.6414667130e+01,
    7.1928291321e+01,    2.6141086578e+01,
    7.2427795410e+01,    2.5996885300e+01,
    7.2927299500e+01,    2.5875608444e+01,
    7.3426826477e+01,    2.7045019150e+01,
    7.3926353455e+01,    2.8447420120e+01,
    7.4425849915e+01,    2.8655027390e+01,
    7.4925331116e+01,    2.8643291473e+01,
    7.5424835205e+01,    2.7614274979e+01,
    7.5924339294e+01,    2.6403621674e+01,
    7.6423812866e+01,    2.2403314590e+01,
    7.6923286438e+01,    1.7882308960e+01,
    7.7422821045e+01,    1.7736940384e+01,
    7.7922363281e+01,    1.8434309006e+01,
    7.8421859741e+01,    2.1743919373e+01,
    7.8921340942e+01,    2.5550695419e+01,
    7.9420845032e+01,    2.4593870163e+01,
    7.9920341492e+01,    2.2684185028e+01,
    8.0419845581e+01,    2.1876628876e+01,
    8.0919342041e+01,    2.1288578033e+01,
    8.1418846130e+01,    2.1744308472e+01,
    8.1918357849e+01,    2.2413906097e+01,
    8.2417854309e+01,    2.1749942780e+01,
    8.2917350769e+01,    2.0820091248e+01,
    8.3416862488e+01,    2.1075141907e+01,
    8.3916381836e+01,    2.1566408157e+01,
    8.4415885925e+01,    2.3510540009e+01,
    8.4915390015e+01,    2.5764980316e+01,
    8.5414901733e+01,    2.6485124588e+01,
    8.5914413452e+01,    2.6887954712e+01,
    8.6413932800e+01,    2.5857282639e+01,
    8.6913444519e+01,    2.4506914139e+01,
    8.7412948608e+01,    2.5729429245e+01,
    8.7912460327e+01,    2.7498214722e+01,
    8.8411949158e+01,    2.6374027252e+01,
    8.8911437988e+01,    2.4632354736e+01,
    8.9410957336e+01,    2.6012828827e+01,
    8.9910484314e+01,    2.8084609985e+01,
    9.0409996033e+01,    2.7651491165e+01,
